Part	Poem	Verse	Word1	Word2	IPA1	IPA2	Type	Rhyming	Lines
book-of-poetry/odes-of-qin/zhs	Xiao Rong	2	子	玉	ʦy32	ŋyʔ5	inexact	-	2041-2042
book-of-poetry/odes-of-qin/zhs	Xiao Rong	3	中	子	tyŋ44	ʦy32	inexact	crossed	2047-2051
book-of-poetry/odes-of-qin/zhs	Xiao Rong	3	骖	合	ʦʰaŋ44	haʔ5	inexact	-	2048-2049
book-of-poetry/odes-of-qin/zhs	Xiao Rong	3	期	之	ki44	ʦi44	tonal inexact	-	2053-2054
book-of-poetry/odes-of-qin/zhs	Jian Jia	2	人	之	iŋ53	ʦi44	inexact	paired	2067-2069
book-of-poetry/odes-of-qin/zhs	Jian Jia	2	人	之	iŋ53	ʦi44	inexact	encircling	2067-2071
book-of-poetry/odes-of-qin/zhs	Jian Jia	2	方	长	huoŋ44	tuoŋ32	exact	-	2068-2070
book-of-poetry/odes-of-qin/zhs	Jian Jia	2	之	之	ʦi44	ʦi44	tonal inexact	-	2069-2071
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	晞	人	hi44	iŋ53	inexact	paired	2074-2075
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	晞	湄	hi44	mi53	inexact	crossed	2074-2076
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	晞	之	hi44	ʦi44	tonal inexact	encircling	2074-2077
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	晞	之	hi44	ʦi44	tonal inexact	-	2074-2079
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	人	湄	iŋ53	mi53	tonal inexact	-	2075-2076
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	人	之	iŋ53	ʦi44	inexact	paired	2075-2077
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	人	之	iŋ53	ʦi44	inexact	encircling	2075-2079
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	湄	之	mi53	ʦi44	inexact	-	2076-2077
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	湄	之	mi53	ʦi44	inexact	paired	2076-2079
book-of-poetry/odes-of-qin/zhs	Jian Jia	3	之	之	ʦi44	ʦi44	tonal inexact	-	2077-2079
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	息	息	sɛiʔ23	sɛiʔ23	tonal exact	-	2104-2105
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	息	特	sɛiʔ23	tɛiʔ5	exact	-	2104-2106
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	息	栗	sɛiʔ23	lɛiʔ23	tonal exact	crossed	2104-2108
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	息	特	sɛiʔ23	tɛiʔ5	exact	-	2105-2106
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	息	栗	sɛiʔ23	lɛiʔ23	tonal exact	-	2105-2108
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	特	栗	tɛiʔ5	lɛiʔ23	exact	-	2106-2108
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	穴	天	hieʔ5	tʰieŋ44	inexact	-	2107-2109
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	人	兮	iŋ53	hi44	inexact	-	2110-2111
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	人	身	iŋ53	siŋ44	exact	-	2110-2112
book-of-poetry/odes-of-qin/zhs	Huang Niao	2	兮	身	hi44	siŋ44	tonal inexact	-	2111-2112
book-of-poetry/odes-of-qin/zhs	Huang Niao	3	桑	防	souŋ44	houŋ53	exact	-	2114-2118
book-of-poetry/odes-of-qin/zhs	Huang Niao	3	行	行	hɛiŋ53	hɛiŋ53	tonal exact	-	2116-2117
book-of-poetry/odes-of-qin/zhs	Huang Niao	3	行	栗	hɛiŋ53	lɛiʔ23	inexact	crossed	2116-2120
book-of-poetry/odes-of-qin/zhs	Huang Niao	3	行	栗	hɛiŋ53	lɛiʔ23	inexact	-	2117-2120
book-of-poetry/odes-of-qin/zhs	Huang Niao	3	穴	天	hieʔ5	tʰieŋ44	inexact	-	2119-2121
book-of-poetry/odes-of-qin/zhs	Huang Niao	3	人	兮	iŋ53	hi44	inexact	-	2122-2123
book-of-poetry/odes-of-qin/zhs	Huang Niao	3	人	身	iŋ53	siŋ44	exact	-	2122-2124
book-of-poetry/odes-of-qin/zhs	Huang Niao	3	兮	身	hi44	siŋ44	tonal inexact	-	2123-2124
book-of-poetry/odes-of-qin/zhs	Chen Feng	2	林	钦	liŋ53	kʰiŋ44	exact	crossed	2138-2140
book-of-poetry/odes-of-qin/zhs	Chen Feng	2	何	多	ho53	to44	inexact	-	2141-2142
book-of-poetry/odes-of-qin/zhs	Chen Feng	3	何	多	ho53	to44	inexact	-	2147-2148
book-of-poetry/odes-of-qin/zhs	Wu Yi	3	泽	戟	tɛiʔ5	ʦɛiʔ23	exact	crossed	2161-2163
book-of-poetry/odes-of-qin/zhs	Quan Yu	2	渠	馀	ky53	y53	tonal inexact	paired	2179-2180
book-of-poetry/odes-of-qin/zhs	Quan Yu	2	渠	舆	ky53	y53	tonal inexact	encircling	2179-2182
book-of-poetry/odes-of-qin/zhs	Quan Yu	2	馀	舆	y53	y53	tonal inexact	paired	2180-2182
book-of-poetry/odes-of-chen/zhs	Wan Qiu	2	兮	兮	hi44	hi44	tonal inexact	paired	2189-2190
book-of-poetry/odes-of-chen/zhs	Wan Qiu	2	兮	兮	hi44	hi44	tonal inexact	crossed	2189-2191
book-of-poetry/odes-of-chen/zhs	Wan Qiu	2	兮	兮	hi44	hi44	tonal inexact	-	2190-2191
book-of-poetry/odes-of-chen/zhs	Wan Qiu	3	下	夏	hɑ242	hɑ242	tonal inexact	paired	2193-2194
book-of-poetry/odes-of-chen/zhs	Heng Men	2	迟	饥	ti53	ki44	inexact	crossed	2213-2215
book-of-poetry/odes-of-chen/zhs	Mu Men	2	之	之	ʦi44	ʦi44	tonal inexact	crossed	2245-2247
book-of-poetry/odes-of-chen/zhs	Mu Men	2	之	已	ʦi44	i32	inexact	encircling	2245-2248
book-of-poetry/odes-of-chen/zhs	Mu Men	2	之	矣	ʦi44	i32	inexact	-	2245-2249
book-of-poetry/odes-of-chen/zhs	Mu Men	2	之	已	ʦi44	i32	inexact	-	2247-2248
book-of-poetry/odes-of-chen/zhs	Mu Men	2	之	矣	ʦi44	i32	inexact	-	2247-2249
book-of-poetry/odes-of-chen/zhs	Mu Men	2	已	矣	i32	i32	tonal inexact	-	2248-2249
book-of-poetry/odes-of-chen/zhs	Yue Chu	2	兮	兮	hi44	hi44	tonal inexact	paired	2265-2266
book-of-poetry/odes-of-chen/zhs	Yue Chu	2	兮	兮	hi44	hi44	tonal inexact	crossed	2265-2267
book-of-poetry/odes-of-chen/zhs	Yue Chu	2	兮	兮	hi44	hi44	tonal inexact	-	2266-2267
book-of-poetry/odes-of-chen/zhs	Yue Chu	3	兮	兮	hi44	hi44	tonal inexact	paired	2269-2270
book-of-poetry/odes-of-chen/zhs	Yue Chu	3	兮	兮	hi44	hi44	tonal inexact	crossed	2269-2271
book-of-poetry/odes-of-chen/zhs	Yue Chu	3	兮	兮	hi44	hi44	tonal inexact	-	2270-2271
book-of-poetry/odes-of-chen/zhs	Zhu Lin	2	南	南	naŋ53	naŋ53	tonal exact	crossed	2277-2279
book-of-poetry/odes-of-chen/zhs	Ze Po	2	荷	何	ho53	ho53	tonal inexact	crossed	2285-2287
book-of-poetry/odes-of-chen/zhs	Ze Po	2	荷	沱	ho53	to53	tonal inexact	-	2285-2289
book-of-poetry/odes-of-chen/zhs	Ze Po	2	何	沱	ho53	to53	tonal inexact	-	2287-2289
book-of-poetry/odes-of-gui/zhs	Su Guan	2	兮	兮	hi44	hi44	tonal inexact	paired	2315-2316
book-of-poetry/odes-of-gui/zhs	Su Guan	3	兮	兮	hi44	hi44	tonal inexact	paired	2318-2319
book-of-poetry/odes-of-gui/zhs	Fei Feng	2	兮	兮	hi44	hi44	tonal inexact	crossed	2336-2338
book-of-poetry/odes-of-gui/zhs	Fei Feng	3	兮	兮	hi44	hi44	tonal inexact	crossed	2340-2342
book-of-poetry/odes-of-cao/zhs	Shi Jiu	2	兮	兮	hi44	hi44	tonal inexact	crossed	2376-2378
book-of-poetry/odes-of-cao/zhs	Shi Jiu	2	兮	兮	hi44	hi44	tonal inexact	encircling	2376-2379
book-of-poetry/odes-of-cao/zhs	Shi Jiu	2	兮	兮	hi44	hi44	tonal inexact	-	2376-2380
book-of-poetry/odes-of-cao/zhs	Shi Jiu	2	兮	兮	hi44	hi44	tonal inexact	-	2378-2379
book-of-poetry/odes-of-cao/zhs	Shi Jiu	2	兮	兮	hi44	hi44	tonal inexact	-	2378-2380
book-of-poetry/odes-of-cao/zhs	Shi Jiu	2	兮	兮	hi44	hi44	tonal inexact	-	2379-2380
book-of-poetry/odes-of-cao/zhs	Shi Jiu	3	子	丝	ʦi32	si44	inexact	-	2383-2384
book-of-poetry/odes-of-cao/zhs	Shi Jiu	3	子	丝	ʦi32	si44	inexact	paired	2383-2385
book-of-poetry/odes-of-cao/zhs	Shi Jiu	3	子	骐	ʦi32	ki53	inexact	crossed	2383-2386
book-of-poetry/odes-of-cao/zhs	Shi Jiu	3	丝	丝	si44	si44	tonal inexact	-	2384-2385
book-of-poetry/odes-of-cao/zhs	Shi Jiu	3	丝	骐	si44	ki53	inexact	-	2384-2386
book-of-poetry/odes-of-cao/zhs	Shi Jiu	3	丝	骐	si44	ki53	inexact	-	2385-2386
book-of-poetry/odes-of-bin/zhs	Qi Yue	2	趾	喜	ʦi32	hi32	tonal inexact	-	2422-2425
book-of-poetry/odes-of-bin/zhs	Qi Yue	3	迟	祁	ti53	ki53	tonal inexact	-	2433-2434
book-of-poetry/odes-of-bin/zhs	Qi Yue	3	迟	悲	ti53	pʰi44	inexact	-	2433-2435
book-of-poetry/odes-of-bin/zhs	Qi Yue	3	祁	悲	ki53	pʰi44	inexact	-	2434-2435
book-of-poetry/odes-of-bin/zhs	Qi Yue	4	桑	桑	souŋ44	souŋ44	tonal exact	crossed	2439-2442
book-of-poetry/odes-of-bin/zhs	Qi Yue	4	斨	黄	ʦuoŋ44	uoŋ53	exact	crossed	2440-2445
book-of-poetry/odes-of-bin/zhs	Qi Yue	4	扬	阳	yoŋ53	yoŋ53	tonal exact	paired	2441-2446
book-of-poetry/odes-of-bin/zhs	Qi Yue	4	黄	裳	uoŋ53	suoŋ53	tonal exact	-	2445-2447
book-of-poetry/odes-of-bin/zhs	Qi Yue	5	同	功	tuŋ53	kuŋ44	exact	-	2455-2456
book-of-poetry/odes-of-bin/zhs	Qi Yue	5	同	公	tuŋ53	kuŋ44	exact	-	2455-2458
book-of-poetry/odes-of-bin/zhs	Qi Yue	5	功	公	kuŋ44	kuŋ44	tonal exact	-	2456-2458
book-of-poetry/odes-of-bin/zhs	Qi Yue	6	羽	宇	y32	y32	tonal inexact	crossed	2460-2462
book-of-poetry/odes-of-bin/zhs	Qi Yue	6	宇	鼠	y32	ʦʰy32	tonal inexact	crossed	2462-2466
book-of-poetry/odes-of-bin/zhs	Qi Yue	6	户	户	hou242	hou242	tonal inexact	paired	2463-2467
book-of-poetry/odes-of-bin/zhs	Qi Yue	6	鼠	子	ʦʰy32	ʦy32	tonal inexact	-	2466-2468
book-of-poetry/odes-of-bin/zhs	Qi Yue	6	鼠	处	ʦʰy32	ʦʰy32	tonal inexact	-	2466-2470
book-of-poetry/odes-of-bin/zhs	Qi Yue	6	子	处	ʦy32	ʦʰy32	tonal inexact	-	2468-2470
book-of-poetry/odes-of-bin/zhs	Qi Yue	7	壶	夫	hu53	hu44	inexact	-	2478-2481
book-of-poetry/odes-of-bin/zhs	Qi Yue	8	夫	同	hu44	tuŋ53	inexact	-	2486-2487
book-of-poetry/odes-of-bin/zhs	Qi Yue	8	夫	功	hu44	kuŋ44	tonal inexact	-	2486-2488
book-of-poetry/odes-of-bin/zhs	Qi Yue	8	同	功	tuŋ53	kuŋ44	exact	-	2487-2488
book-of-poetry/odes-of-bin/zhs	Qi Yue	8	屋	谷	ouʔ23	kouʔ23	tonal exact	-	2491-2492
book-of-poetry/odes-of-bin/zhs	Chi Xiao	2	斯	斯	sy44	sy44	tonal inexact	-	2507-2508
book-of-poetry/odes-of-bin/zhs	Chi Xiao	4	荼	租	tu53	ʦu44	inexact	paired	2515-2516
book-of-poetry/odes-of-bin/zhs	Dong Shan	2	归	归	kuoi44	kuoi44	tonal inexact	encircling	2525-2528
book-of-poetry/odes-of-bin/zhs	Dong Shan	2	东	蒙	tuŋ44	muŋ53	exact	-	2526-2527
book-of-poetry/odes-of-bin/zhs	Dong Shan	2	归	枚	kuoi44	muoi53	inexact	-	2528-2531
book-of-poetry/odes-of-bin/zhs	Dong Shan	2	悲	衣	pʰi44	i44	tonal inexact	-	2529-2530
book-of-poetry/odes-of-bin/zhs	Dong Shan	3	东	蒙	tuŋ44	muŋ53	exact	-	2538-2539
book-of-poetry/odes-of-bin/zhs	Dong Shan	3	室	行	sɛiʔ23	hɛiŋ53	inexact	-	2542-2545
book-of-poetry/odes-of-bin/zhs	Dong Shan	3	也	也	ia32	ia32	tonal inexact	-	2546-2547
book-of-poetry/odes-of-bin/zhs	Dong Shan	4	东	蒙	tuŋ44	muŋ53	exact	-	2550-2551
book-of-poetry/odes-of-bin/zhs	Dong Shan	4	蒙	苦	muŋ53	kʰu32	inexact	encircling	2551-2556
book-of-poetry/odes-of-bin/zhs	Dong Shan	4	室	窒	sɛiʔ23	tɛiʔ23	tonal exact	-	2553-2554
book-of-poetry/odes-of-bin/zhs	Dong Shan	4	室	至	sɛiʔ23	ʦɛi212	inexact	-	2553-2555
book-of-poetry/odes-of-bin/zhs	Dong Shan	4	窒	至	tɛiʔ23	ʦɛi212	inexact	-	2554-2555
book-of-poetry/odes-of-bin/zhs	Po Fu	2	斨	皇	ʦuoŋ44	huoŋ53	exact	crossed	2573-2575
book-of-poetry/odes-of-bin/zhs	Po Fu	2	斨	将	ʦuoŋ44	ʦuoŋ44	tonal exact	-	2573-2577
book-of-poetry/odes-of-bin/zhs	Po Fu	2	皇	将	huoŋ53	ʦuoŋ44	exact	-	2575-2577
book-of-poetry/odes-of-bin/zhs	Po Fu	3	锜	征	ki53	ʦiŋ44	inexact	paired	2579-2580
book-of-poetry/odes-of-bin/zhs	Fa Ke	2	克	得	kʰɑiʔ23	tɑiʔ23	tonal exact	crossed	2591-2593
book-of-poetry/odes-of-bin/zhs	Jiu Yu	2	鲂	裳	huoŋ53	suoŋ53	tonal exact	crossed	2599-2601
book-of-poetry/decade-of-lu-ming/zhs	Lu Ming	2	苹	宾	piŋ53	piŋ44	exact	paired	2620-2621
book-of-poetry/decade-of-lu-ming/zhs	Lu Ming	2	笙	行	sɛiŋ44	hɛiŋ53	exact	crossed	2622-2626
book-of-poetry/decade-of-lu-ming/zhs	Lu Ming	2	簧	将	huoŋ53	ʦuoŋ44	exact	-	2623-2624
book-of-poetry/decade-of-lu-ming/zhs	Lu Ming	3	昭	酒	ʦieu44	ʦieu32	inexact	-	2630-2633
book-of-poetry/decade-of-lu-ming/zhs	Huang Huang Zhe Hua	3	濡	驱	y53	kʰy44	inexact	paired	2673-2674
book-of-poetry/decade-of-lu-ming/zhs	Chang Di	3	矣	矣	i32	i32	tonal inexact	-	2694-2695
book-of-poetry/decade-of-lu-ming/zhs	Chang Di	7	饫	具	nøy212	køy242	inexact	paired	2709-2710
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	嘤	矣	iŋ44	i32	inexact	encircling	2721-2724
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	嘤	矣	iŋ44	i32	inexact	-	2721-2726
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	矣	矣	i32	i32	tonal inexact	-	2724-2726
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	矣	矣	i32	i32	tonal inexact	paired	2724-2728
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	声	声	siaŋ44	siaŋ44	tonal exact	-	2725-2727
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	矣	矣	i32	i32	tonal inexact	-	2726-2728
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	矣	之	i32	ʦi44	inexact	-	2726-2730
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	矣	平	i32	piŋ53	inexact	-	2726-2731
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	矣	之	i32	ʦi44	inexact	-	2728-2730
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	矣	平	i32	piŋ53	inexact	-	2728-2731
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	2	之	平	ʦi44	piŋ53	inexact	-	2730-2731
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	3	父	顾	hou242	kou212	inexact	crossed	2735-2737
book-of-poetry/decade-of-lu-ming/zhs	Fa Mu	3	舅	咎	kiɛu242	kʰiɛu242	tonal inexact	-	2741-2743
book-of-poetry/decade-of-lu-ming/zhs	Tian Bao	3	谷	福	kouʔ23	houʔ23	tonal exact	encircling	2763-2766
book-of-poetry/decade-of-lu-ming/zhs	Tian Bao	4	兴	陵	hiŋ44	liŋ53	exact	crossed	2769-2771
book-of-poetry/decade-of-lu-ming/zhs	Tian Bao	4	至	增	ʦɛi212	ʦɛiŋ44	inexact	-	2772-2773
book-of-poetry/decade-of-lu-ming/zhs	Tian Bao	5	尝	王	suoŋ53	uoŋ53	tonal exact	paired	2776-2777
book-of-poetry/decade-of-lu-ming/zhs	Cai Wei	2	止	止	ʦi32	ʦi32	tonal inexact	crossed	2793-2795
book-of-poetry/decade-of-lu-ming/zhs	Cai Wei	2	故	故	kou212	kou212	tonal inexact	-	2797-2799
book-of-poetry/decade-of-lu-ming/zhs	Cai Wei	3	止	止	ʦi32	ʦi32	tonal inexact	crossed	2801-2803
book-of-poetry/decade-of-lu-ming/zhs	Cai Wei	3	定	聘	tɛiŋ242	pʰɛiŋ212	exact	-	2806-2807
book-of-poetry/decade-of-lu-ming/zhs	Cai Wei	4	止	止	ʦi32	ʦi32	tonal inexact	crossed	2809-2811
book-of-poetry/decade-of-lu-ming/zhs	Cai Wei	5	业	捷	ŋieʔ5	ʦieʔ5	tonal exact	-	2821-2823
book-of-poetry/decade-of-lu-ming/zhs	Cai Wei	6	依	翼	i44	iʔ5	inexact	paired	2826-2828
book-of-poetry/decade-of-lu-ming/zhs	Cai Wei	6	依	棘	i44	ʦiʔ5	inexact	-	2826-2831
book-of-poetry/decade-of-lu-ming/zhs	Cai Wei	6	翼	棘	iʔ5	ʦiʔ5	tonal exact	crossed	2828-2831
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	2	矣	矣	i32	i32	tonal inexact	crossed	2841-2843
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	2	矣	矣	i32	i32	tonal inexact	-	2841-2845
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	2	所	夫	su32	hu44	inexact	paired	2842-2844
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	2	矣	矣	i32	i32	tonal inexact	-	2843-2845
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	2	矣	矣	i32	i32	tonal inexact	crossed	2843-2847
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	2	矣	矣	i32	i32	tonal inexact	-	2845-2847
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	3	矣	矣	i32	i32	tonal inexact	paired	2849-2850
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	3	矣	矣	i32	i32	tonal inexact	crossed	2849-2851
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	3	矣	矣	i32	i32	tonal inexact	-	2850-2851
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	3	旆	瘁	pʰuɔi212	ʦuɔi242	inexact	-	2853-2855
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	4	方	方	huoŋ44	huoŋ44	tonal exact	-	2857-2861
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	4	方	襄	huoŋ44	suoŋ44	tonal exact	-	2861-2863
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	5	思	居	sy44	ky44	tonal inexact	crossed	2866-2869
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	5	思	书	sy44	ʦy44	tonal inexact	-	2866-2871
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	5	居	书	ky44	ʦy44	tonal inexact	-	2869-2871
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	6	螽	子	ʦyŋ44	ʦy32	inexact	paired	2873-2874
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	6	螽	忡	ʦyŋ44	ʦʰyŋ44	tonal exact	crossed	2873-2875
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	6	螽	子	ʦyŋ44	ʦy32	inexact	encircling	2873-2876
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	6	子	忡	ʦy32	ʦʰyŋ44	inexact	-	2874-2875
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	6	子	子	ʦy32	ʦy32	tonal inexact	paired	2874-2876
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	6	子	戎	ʦy32	yŋ53	inexact	-	2874-2879
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	6	忡	子	ʦʰyŋ44	ʦy32	inexact	-	2875-2876
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	6	忡	戎	ʦʰyŋ44	yŋ53	exact	crossed	2875-2879
book-of-poetry/decade-of-lu-ming/zhs	Chu Che	6	子	戎	ʦy32	yŋ53	inexact	-	2876-2879
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	实	日	siʔ5	niʔ5	tonal exact	paired	2889-2891
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	实	止	siʔ5	ʦi32	inexact	crossed	2889-2892
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	实	止	siʔ5	ʦi32	inexact	encircling	2889-2893
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	实	止	siʔ5	ʦi32	inexact	-	2889-2894
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	日	止	niʔ5	ʦi32	inexact	-	2891-2892
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	日	止	niʔ5	ʦi32	inexact	paired	2891-2893
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	日	止	niʔ5	ʦi32	inexact	crossed	2891-2894
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	止	止	ʦi32	ʦi32	tonal inexact	-	2892-2893
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	止	止	ʦi32	ʦi32	tonal inexact	-	2892-2894
book-of-poetry/decade-of-lu-ming/zhs	Di Du	2	止	止	ʦi32	ʦi32	tonal inexact	-	2893-2894
book-of-poetry/decade-of-lu-ming/zhs	Di Du	3	悲	止	pʰi44	ʦi32	inexact	-	2898-2899
book-of-poetry/decade-of-lu-ming/zhs	Di Du	3	悲	止	pʰi44	ʦi32	inexact	paired	2898-2900
book-of-poetry/decade-of-lu-ming/zhs	Di Du	3	悲	止	pʰi44	ʦi32	inexact	crossed	2898-2901
book-of-poetry/decade-of-lu-ming/zhs	Di Du	3	止	止	ʦi32	ʦi32	tonal inexact	-	2899-2900
book-of-poetry/decade-of-lu-ming/zhs	Di Du	3	止	止	ʦi32	ʦi32	tonal inexact	-	2899-2901
book-of-poetry/decade-of-lu-ming/zhs	Di Du	3	止	止	ʦi32	ʦi32	tonal inexact	-	2900-2901
book-of-poetry/decade-of-baihua/zhs	Yu Li	4	酒	有	ʦieu32	ieu32	tonal inexact	paired	2926-2927
book-of-poetry/decade-of-baihua/zhs	Nan You Jia Yu	4	之	之	ʦi44	ʦi44	tonal inexact	crossed	2943-2945
book-of-poetry/decade-of-baihua/zhs	Nan Shan You Tai	2	子	子	ʦy32	ʦy32	tonal inexact	paired	2952-2954
book-of-poetry/decade-of-baihua/zhs	Nan Shan You Tai	2	基	期	ki44	ki44	tonal inexact	-	2953-2955
book-of-poetry/decade-of-baihua/zhs	Nan Shan You Tai	3	杨	疆	yoŋ53	kyoŋ44	exact	-	2957-2961
book-of-poetry/decade-of-baihua/zhs	Nan Shan You Tai	3	子	子	ʦy32	ʦy32	tonal inexact	paired	2958-2960
book-of-poetry/decade-of-baihua/zhs	Nan Shan You Tai	4	李	已	li32	i32	tonal inexact	-	2963-2967
book-of-poetry/decade-of-baihua/zhs	Nan Shan You Tai	4	子	子	ʦy32	ʦy32	tonal inexact	paired	2964-2966
book-of-poetry/decade-of-baihua/zhs	Nan Shan You Tai	5	子	子	ʦy32	ʦy32	tonal inexact	crossed	2970-2972
book-of-poetry/decade-of-baihua/zhs	Liao Xiao	2	兮	兮	hi44	hi44	tonal inexact	crossed	2981-2983
book-of-poetry/decade-of-baihua/zhs	Liao Xiao	2	兮	兮	hi44	hi44	tonal inexact	encircling	2981-2984
book-of-poetry/decade-of-baihua/zhs	Liao Xiao	2	兮	兮	hi44	hi44	tonal inexact	-	2981-2985
book-of-poetry/decade-of-baihua/zhs	Liao Xiao	2	兮	兮	hi44	hi44	tonal inexact	-	2983-2984
book-of-poetry/decade-of-baihua/zhs	Liao Xiao	2	兮	兮	hi44	hi44	tonal inexact	-	2983-2985
book-of-poetry/decade-of-baihua/zhs	Liao Xiao	2	兮	兮	hi44	hi44	tonal inexact	-	2984-2985
book-of-poetry/decade-of-baihua/zhs	Liao Xiao	4	弟	弟	tiɛ242	tiɛ242	tonal inexact	-	2995-2996
book-of-poetry/decade-of-baihua/zhs	Zhan Lu	2	晞	饮	hi44	iŋ32	inexact	paired	3005-3006
book-of-poetry/decade-of-baihua/zhs	Zhan Lu	3	草	考	ʦʰo32	kʰo32	tonal inexact	crossed	3009-3011
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	2	之	宾	ʦi44	piŋ44	tonal inexact	paired	3021-3022
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	2	之	之	ʦi44	ʦi44	tonal inexact	crossed	3021-3023
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	2	之	之	ʦi44	ʦi44	tonal inexact	-	3021-3025
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	2	宾	之	piŋ44	ʦi44	tonal inexact	-	3022-3023
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	2	宾	之	piŋ44	ʦi44	tonal inexact	crossed	3022-3025
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	2	之	之	ʦi44	ʦi44	tonal inexact	-	3023-3025
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	3	之	宾	ʦi44	piŋ44	tonal inexact	paired	3027-3028
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	3	之	之	ʦi44	ʦi44	tonal inexact	crossed	3027-3029
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	3	之	之	ʦi44	ʦi44	tonal inexact	-	3027-3031
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	3	宾	之	piŋ44	ʦi44	tonal inexact	-	3028-3029
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	3	宾	之	piŋ44	ʦi44	tonal inexact	crossed	3028-3031
book-of-poetry/decade-of-tong-gong/zhs	Tong Gong	3	之	之	ʦi44	ʦi44	tonal inexact	-	3029-3031
book-of-poetry/decade-of-tong-gong/zhs	Liu Yue	2	饬	急	tʰɛiʔ23	kɛiʔ23	tonal exact	encircling	3055-3059
book-of-poetry/decade-of-tong-gong/zhs	Liu Yue	3	里	征	li32	ʦiŋ44	inexact	-	3067-3068
book-of-poetry/decade-of-tong-gong/zhs	Liu Yue	4	公	服	kuŋ44	huʔ5	inexact	crossed	3073-3075
