埃	*qˤə 
卷	*[k](r)o[n]ʔ 
畎	*C.qʷˤ[i]nʔ 
圈	*[g](r)o[n]ʔ 
睠	*[k]ro[n]-s 
眷	*[k]ro[n]-s 
絹	*[k]ʷen-s 
絕	*[dz]ot 
𧮫	*[g]ak 
倔	*[g]ut 
掘	*[g]ut 
掘	*[g]ot 
蹷	*[g]ʷat 
玨	*[k]ˤrok 
覺	*kˤruk 
蹻	*k(r)awʔ 
矍	*C.qʷ(r)ak 
攫	*C.qʷ(r)ak 
蹷	*kʷ(r)a[t]-s 
蕨	*Cə.kot 
厥	*kot 
蹶	*kʷat 
譎	*[C.q]ʷˤi[t] 
決	*[k]ʷˤet 
決	*[k]ʷˤet 
訣	*[k]ʷˤet 
爵	*[ts]ewk 
君	*C.qur 
軍	*[k]ʷər 
均	*C.qʷi[n] 
鈞	*C.qʷi[n] 
鈞	*C.qʷi[n] 
麏	*krun 
麕	*krun 
麇	*krun 
郡	*[g]ur-s 
菌	*[g]runʔ 
駿	*[ts]ur-s 
開	*Nə-[k]ʰˤəj 
開	*[k]ʰˤəj 
豈	*C.qʰˤəjʔ 
凱	*C.qʰˤəjʔ 
愷	*C.qʰˤəjʔ 
塏	*C.qʰˤəjʔ 
鎧	*C.qʰˤəjʔ 
鎧	*C.qʰˤəjʔ-s 
嘅	*C.qʰˤəp-s 
慨	*[kʰ]ˤə[t]-s 
咳	*kʰˤək-s 
欬	*kʰˤək-s 
愾	*qʰəp-s 
看	*kʰˤa[r] 
堪	*[kʰ]ˤ[ə]m 
戡	*[kʰ]ˤ[ə]m 
竷	*[k]ʰomʔ 
坎	*[k]ʰˤomʔ 
埳	*[k]ʰˤomʔ 
欿	*[kʰ]ˤomʔ 
欿	*[kʰ]ˤomʔ 
欿	*[kʰ]ˤomʔ 
𠪚	*N-qʰˤ[ə]m 
看	*[kʰ]ˤa[r]-s 
康	*[kʰ]ˤaŋ 
康	*k-r̥ˤaŋ 
抗	*kʰˤaŋ-s 
尻	*[k]ʰˤu 
丂	*C.qʰˤuʔ (Shuōwén; no pre-Qín exx.)
考	*k-r̥ˤuʔ 
犒	*[kʰ]ˤaw-s 
柯	*[k]ˤar 
薖	*kʷʰˤaj 
可	*[k]ʰˤa[j]ʔ 
渴	*Nə-[k]ʰˤat 
客	*kʰˤrak 
刻	*[kʰ]ˤək 
克	*kʰˤək 
肯	*kʰˤəŋʔ 
牼	*m-kʰˤ<r>eŋ 
牼	*kʰˤ<r>eŋ 
空	*kʰˤoŋ 
恐	*kʰ(r)oŋʔ 
孔	*[k]ʰˤoŋʔ 
空	*kʰˤoŋʔ 
控	*kʰˤoŋ-s 
口	*kʰˤ(r)oʔ 
叩	*kʰˤ(r)oʔ 
寇	*[k]ʰˤ(r)o-s 
叩	*kʰˤ(r)oʔ-s 
枯	*kʰˤa 
哭	*[kʰ]ˤok 
堀	*[kʰ]ˤut 
窟	*[kʰ]ˤut 
苦	*kʰˤaʔ 
酷	*kʰˤuk 
庫	*[k]ʰˤa-s 
袴	*[kʷʰ]ˤa-s 
夸	*[kʷʰ]ˤra 
誇	*[kʷʰ]ˤra 
蒯	*kʰˤru[t]-s 
快	*[k]ʷʰˤret-s 
噲	*kʰr[o][p]-s 
塊	*[kʰ]ˤ<r>uj-s 
塊	*[kʰ]ˤuj-s 
膾	*C.[k]ˤ[o][p]-s 
巜	*[k]ˤop-s 
澮	*[k]ˤop-s 
鬠	*[k]ˤop-s 
會	*kˤop-s 
寬	*[k]ʷʰˤa[n] 
匡	*k-pʰaŋ 
筐	*k-pʰaŋ 
狂	*[k-ɢʷ]aŋ 
曠	*[k-m̥]ˤaŋ-s 
壙	*kʷʰˤaŋ-s 
曠	*kʷʰˤaŋ-s 
纊	*kʷʰˤaŋ-s 
況	*[m̥]aŋ-s 
況	*[m̥]aŋ-s 
虧	*[k]ʷʰ(r)aj 
窺	*kʷʰe 
葵	*gʷij 
揆	*[g]ʷijʔ 
戣	*[g]ʷrij 
頯	*[g]ʷru 
逵	*[g]ʷru 
頄	*[g]ʷru 
馗	*[g]ʷru 
睽	*kʷʰˤij 
魁	*[kʰ]ˤuj 
魁	*[kʰ]ˤuj 
魁	*[kʰ]ˤuj 
蕢	*[g]ruj-s 
饋	*[g]ruj-s 
餽	*[g]ruj-s 
潰	*[gʷ]ˤ[ə]j-s 
喟	*[k]ʷʰˤrə[t]-s 
簣	*kʰˤruj-s 
喟	*[k]ʷʰrə[t]-s 
愧	*[k]ruj-s 
聵	*[ŋ]ˤruj-s 
坤	*[kʰ]ˤu[n] 
昆	*[k]ˤu[n] 
𥊽	*[k]ˤu[n] 
梱	*kʰˤunʔ 
稇	*kʰˤunʔ 
困	*kʰˤu[n]-s 
擴	*kʷʰˤak 
廓	*kʷʰˤak 
闊	*[k]ʰˤot 
闊	*[k]ʷʰˤat 
臘	*C.rˤap 
蠟	*k.rˤap (no pre-Qín exx.)
辣	*mə.rˤat (~ C.rˤat ?)
剌	*mə.rˤat (~ C.rˤat ?)
拉	*[r]ˤəp 
𧳟	*[r]ˤə 
來	*mə.rˤək (> *mə.rˤə)
來	*mə.rˤək (> *rˤə)
瀨	*C.rˤa[t]-s 
糲	*[r]ˤat-s 
賴	*rˤa[t]-s 
籟	*rˤa[t]-s 
賚	*[r]ˤək-s 
瀾	*[r]ˤanʔ 
藍	*[N-k.]rˤam 
籃	*k.rˤam 
闌	*[r]ˤan 
蘭	*k.rˤan 
婪	*[r]ˤ[ə]m 
懶	*[N-kə.]rˤanʔ 
爛	*[r]ˤan-s 
爤	*[r]ˤan-s 
郎	*C.rˤaŋ 
浪	*[r]ˤaŋ 
狼	*[r]ˤaŋ 
琅	*[r]ˤaŋ 
琅	*[r]ˤaŋ 
稂	*[r]ˤaŋ 
廊	*[r]ˤaŋ 
郎	*rˤaŋ 
俍	*[r]aŋ 
朗	*k.rˤaŋʔ 
勞	*[r]ˤaw 
老	*C.rˤuʔ 
勞	*[r]ˤaw-s 
𤻲	*[r]ˤawk 
樂	*[r]ˤawk 
樂	*[r]ˤawk 
勒	*[r]ˤək 
勒	*[r]ˤək 
羸	*[r]o[j] 
羸	*[r]o[j] 
纍	*[r]uj 
靁	*C.rˤuj 
雷	*C.rˤuj 
罍	*[r]ˤuj 
累	*[r]oj 
累	*[r]ojʔ 
壘	*[r]ujʔ 
誄	*[r]ujʔ 
肋	*[r]ˤək 
淚	*[r][ə]p-s 
類	*[r]u[t]-s 
率	*[r]ut-s 
儽	*[r]ˤuj-s 
犁	*[r]ˤ[i]j 
黎	*[r]ˤij (Cf. 耆 0552l gij < *[g]rij ‘old’)
黎	*[r]ˤij 
狸	*[r]ə 
釐	*[r]ə 
貍	*p.rə 
狸	*p.rə 
棃	*C.r[ə][j] 
犁	*[r][i]j 
離	*[r]aj 
離	*[r]aj 
罹	*[r]aj 
纚	*[r]e 
秜	*nrəj 
豊	*[r]ˤijʔ 
禮	*[r]ˤijʔ 
里	*(mə.)rəʔ 
李	*C.rəʔ 
理	*m(ə).rəʔ 
理	*m(ə).rəʔ 
裏	*m.rəʔ 
鯉	*mə-rəʔ 
轢	*[r]ˤawk 
糲	*[r]ˤat 
麗	*[r]ˤe-s 
戾	*[r]ˤe[t]-s 
荔	*[r]ˤep-s 
隸	*[r]ˤə[p]-s 
歷	*[r]ˤek 
曆	*[r]ˤek 
轢	*[r]ˤewk 
櫟	*[r]ˤewk 
礫	*[r]ˤewk 
䟏	*[r]ˤewk 
䰜	*k.rˤek 
𩰲	*k.rˤek 
鬲	*k.rˤek 
吏	*[r]əʔ-s 
利	*C.ri[t]-s 
力	*k.rək 
立	*k.rəp 
笠	*k.rəp 
粒	*p.rəp 
栗	*[r]i[t] 
詈	*C.raj-s 
離	*raj-s 
厲	*[r]at-s 
厲	*[r]at-s 
厲	*[r]at-s 
礪	*[r]at-s 
糲	*[r]at-s 
蠣	*mə-rat-s 
䟏	*r̥ewk (W dialect: *r̥- > *x-, palatalizing)
蓮	*k.[r]ˤe[n] (cf. 蕑 jiān < kean < *kˤre[n] (dial. *k.rˤ- > kˤr-) ‘lotus fruit (Ode 145.2)’)
憐	*rˤiŋ 
廉	*(k-)rem 
蘞	*[r][a]m 
廉	*[r]em 
磏	*[r]em 
鎌	*[r]em 
簾	*rem 
連	*C.ra[n] 
連	*[r]a[n] 
漣	*[r]a[n] 
斂	*[r][a]mʔ 
練	*[r]ˤen-s 
鍊	*[r]ˤen-s 
斂	*[r][a]m-s 
僆	*k.r[a]n-s (no pre-Qín exx.)
孌	*[r]onʔ 
戀	*[r]on-s 
涼	*C.raŋ 
良	*[r]aŋ 
量	*[r]aŋ 
糧	*[r]aŋ 
粱	*[r]aŋ 
梁	*raŋ 
兩	*p.raŋʔ 
量	*[r]aŋ-s 
亮	*[r]aŋ-s 
諒	*[r]aŋ-s 
僚	*[r]ˤew 
聊	*[r]ˤiw 
料	*[r]ˤew-s 
尞	*[r][a]w-s 
獵	*r[a]p 
躐	*r[a]p 
冽	*C.r[a]t 
列	*[r][e]t 
烈	*[r]at 
裂	*[r]at 
臨	*(p.)rum 
林	*[r]əm 
淋	*r[ə]m 
鄰	*(mə.)rə[n] 
鱗	*C.r[ə][n] 
粦	*[r]ə[n] 
凜	*[r][ə]mʔ 
稟	*p.rimʔ 
廩	*p.rimʔ 
廩	*p.rimʔ 
吝	*mə.rə[n]-s 
靈	*[r]ˤeŋ 
令	*[r]ˤiŋ 
零	*[r]ˤiŋ 
夌	*[r]əŋ 
陵	*[r]əŋ 
凌	*[r]əŋ 
凌	*p.rəŋ 
令	*riŋ 
領	*[r]eŋʔ 
令	*riŋ-s 
鏐	*[r]iw 
留	*C.ru 
鏐	*[r]iw 
摎	*[r]iw 
旒	*[r]u 
劉	*mə-ru 
流	*ru 
柳	*([m]ə.)ruʔ 
翏	*[r]iw-s 
六	*k.ruk 
龍	*[mə]-roŋ 
隆	*[r]uŋ 
隆	*[r]uŋ (< * -[u]m)
聾	*C.rˤoŋ 
籠	*k.rˤoŋ 
隴	*[r]oŋʔ 
籠	*k.rˤoŋʔ 
婁	*[r]o 
漏	*[Nə-r]ˤok-s 
鏤	*[r]ˤo-s 
陋	*[r]ˤo-s 
廬	*[r]a 
蘆	*C.rˤa 
𧆨	*[r]ˤa 
爐	*[r]ˤa 
鑪	*[r]ˤa 
虜	*C.rˤaʔ 
魯	*[r]ˤaʔ 
櫓	*[r]ˤaʔ 
鹵	*[r]ˤaʔ 
鹵	*[r]ˤaʔ 
魯	*r.ŋˤaʔ (dialect > *rŋˤ- > *rˤ- > MC l-)
菉	*[r]ok 
錄	*[r]ok 
戮	*[r]iwk 
陸	*[r]uk 
路	*Cə.rˤak-s 
賂	*[r]ˤak-s 
露	*p.rˤak-s 
盝	*[r]ˤok 
琭	*[r]ˤok 
睩	*[r]ˤok 
祿	*[r]ˤok 
㯟	*[r]ˤok 
鹿	*mə-rˤok 
彔	*pə.rˤok 
欒	*[m]ə.rˤon 
鑾	*[m]ə.rˤon 
欒	*[r]ˤo[n] 
鸞	*[r]ˤon 
䜌	*mə.rˤo[n] 
孿	*[s.r]on-s 
孿	*[s.r]on-s 
卵	*k.rˤorʔ (dialect: *-r > *-j)
卵	*k.rˤorʔ 
𤔔	*[r]ˤo[n]-s 
亂	*[r]ˤo[n]-s 
論	*[r]u[n] 
倫	*[r]u[n] 
輪	*[r]u[n] 
綸	*k.ru[n] 
論	*[r]ˤu[n] 
論	*[r]ˤu[n]-s 
捋	*[r]ˤot 
籮	*C.rˤaj (no pre-Qín exx.)
羅	*rˤaj 
腡	*k.rˤoj (swa 螺  < lwa < *k.rˤoj ‘spiral’)
螺	*k.rˤoj 
倮	*[r]ˤo[r]ʔ 
裸	*[r]ˤo[r]ʔ 
蠃	*rˤorʔ (*kˤorʔ.rˤorʔ, redup. infixation < *kˤorʔ ?)
臝	*rˤorʔ (*kˤorʔ.rˤorʔ, redup. infixed form from *kˤorʔ ‘fruit’ ?)
駱	*[r]ˤak 
落	*kə.rˤak 
濼	*[r]ˤawk 
藘	*[r]a 
履	*[r]ijʔ 
儢	*[r]aʔ 
呂	*[r]aʔ 
旅	*[r]aʔ 
縷	*[r]oʔ 
屢	*[r]o(ʔ)-s 
慮	*[r]a-s 
綠	*pə.rok 
率	*[r]ut 
律	*[r]ut 
律	*[r]ut 
略	*[r]ak 
麻	*C.mˤraj 
馬	*mˤraʔ 
罵	*C.mˤra-s 
埋	*m.rˤə 
薶	*m.rˤə 
霾	*mˤrə 
買	*mˤrajʔ 
邁	*mˤrat-s 
賣	*mˤrajʔ-s 
脈	*C.mˤ<r>[i]k 
脉	*C.mˤ<r>[i]k 
麥	*m-rˤək (dialect: *m-rˤ > *mˤr-)
蠻	*mˤro[n] 
瞞	*mˤ[o][r] 
滿	*mˤ[o][n]ʔ 
慢	*mˤra[n]-s 
曼	*mˤa[n]-s 
幔	*mˤa[n]-s 
漫	*mˤa[n]-s 
曼	*ma[n]-s 
盲	*mˤ<r>aŋ 
龍	*mˤroŋ 
尨	*mˤroŋ 
哤	*mˤroŋ 
駹	*mˤroŋ 
厖	*mˤroŋ 
芒	*mˤaŋ 
忙	*mˤaŋ 
鋩	*maŋ 
貓	*C.mˤraw 
茅	*C.mˤru 
毛	*C.mˤaw 
旄	*mˤaw 
矛	*m(r)u 
卯	*mˤruʔ 
茆	*mˤruʔ 
昴	*mˤruʔ 
貌	*mˤrawk-s 
瞀	*mˤ<r>uk 
芼	*mˤaw(k)-s 
帽	*mˤuk-s 
冒	*mˤuk-s 
冒	*mˤuk-s 
媢	*mˤuk-s 
貿	*mru-s 
眉	*mr[ə][r] 
梅	*C.mˤə 
媒	*C.mˤə 
煤	*mˤə 
枚	*mˤəj 
美	*[m]rəjʔ 
浼	*mˤ[u]rʔ 
浼	*mˤərʔ 
每	*mˤəʔ 
袂	*k.mˤet (dialect: *k.m- > MC kw-)
𩎟	*mˤr[ə][t]-s 
魅	*mr[ə][t]-s 
媚	*mrəjʔ-s 
袂	*k.met-s 
寐	*mi[t]-s 
妹	*C.mˤə[t]-s 
昧	*mˤ[u][t]-s 
捫	*[m]ˤ[ə][n] 
璊	*mˤur 
穈	*mˤur 
汶	*mˤə[n] 
門	*mˤə[r] 
亹	*mˤər 
懣	*mˤ[o][n]ʔ 
䖟	*mˤraŋ 
氓	*mˤr[i]ŋ 
盟	*mraŋ 
蒙	*mˤoŋ 
黽	*mˤrəŋʔ 
孟	*mˤraŋ-s 
夢	*C.məŋ-s 
麛	*m-ŋˤe 
迷	*mˤij 
麋	*mr[i]j 
糜	*C.m(r)aj 
靡	*m(r)aj 
彌	*m-nə[r] 
瀰	*m.ner 
冞	*m.ner 
𦊮	*m.ner 
彌	*m-nə[r]ʔ 
米	*(C.)mˤ[e]jʔ 
瀰	*m.nˤerʔ 
靡	*m(r)ajʔ 
靡	*m(r)ajʔ 
靡	*m(r)ajʔ 
靡	*m(r)ajʔ 
弭	*[m-ŋ]e(j)ʔ 
瀰	*m.nerʔ 
敉	*me[j]ʔ 
汨	*m.nˤik 
冪	*mˤ[e]k 
幦	*mˤ[e]k 
簚	*mˤ[e]k 
密	*mri[t] 
𥁑	*mi[t] 
謐	*mi[t] 
蜜	*mit 
眠	*mˤi[n] 
宀	*me[ŋ] (no pre-Qín exx.)
眄	*mˤe[n]ʔ 
俛	*mr[a][n]ʔ 
免	*mr[o][r]ʔ 
勉	*mr[o][r]ʔ 
冕	*mr[o][r]ʔ 
沔	*m.nerʔ 
湎	*menʔ 
面	*C.me[n]-s 
苗	*m(r)aw 
邈	*mˤrawk 
眇	*[m]ewʔ 
杪	*[m]ewʔ 
渺	*[m]ewʔ 
廟	*[m]raw-s 
妙	*[m]ew(ʔ)-s 
幭	*mˤ[e]k 
蔑	*mˤet 
滅	*[m]et 
緡	*m-ru[n] (dialect: *m-r- > *mr-)
緡	*m-run (dialect: *m-r- > *mr-)
珉	*mr[ə][n] 
旻	*mrə[n] 
民	*mi[ŋ] 
閩	*mrə[n] 
閔	*mrə[n]ʔ 
憫	*mrə[n]ʔ 
敏	*mrə[n]ʔ (~ *mrəʔ)
皿	*mraŋʔ 
泯	*mi[n] 
銘	*mˤeŋ 
鄍	*mˤeŋ 
冥	*mˤeŋ 
鳴	*m.reŋ 
明	*mraŋ 
名	*C.meŋ 
命	*m-riŋ-s (dialect: *m-r- > *mr-, *-iŋ> *-eŋ)
謬	*m-riw-s (dialect: *m-r- > *mr-)
磨	*mˤaj 
謨	*mˤ[a] 
模	*mˤa 
塺	*mˤaj-s 
磨	*mˤaj-s 
陌	*[m]ˤrak 
貉	*mˤrak 
莫	*mˤak 
莫	*mˤak 
末	*mˤat 
沫	*mˤat 
墨	*C.mˤək 
𠬛	*mˤut 
沒	*mˤut 
歿	*mˤut 
歾	*mˤut 
謀	*mə 
某	*məʔ 
譕	*m(r)a 
牡	*m(r)uʔ 
母	*məʔ (? or *mˤoʔ) 
姆	*məʔ 
畮	*məʔ (< mˤoʔ ?)
畝	*məʔ (< *mˤoʔ ?)
幕	*mˤak 
目	*C.m(r)[u]k 
穆	*m(r)iwk 
𡍬	*mr[uk] 
睦	*mr[uk] 
牧	*mək 
慕	*(C.)mˤak-s 
墓	*C.mˤak-s 
募	*mˤak-s 
木	*C.mˤok 
拏	*nˤra 
挐	*nˤra 
內	*nˤ[u]p 
納	*nˤ[u]p 
乃	*nˤə(ŋ)ʔ 
廼	*nˤərʔ 
迺	*nˤərʔ (MC irreg.)
乃	*nˤəʔ 
奈	*nˤa[t]-s 
耐	*nˤə-s 
難	*nˤar 
男	*nˤ[ə]m 
南	*nˤ[ə]m 
戁	*nˤrarʔ 
難	*nˤar-s 
囊	*nˤaŋ 
曩	*nˤaŋʔ 
夒	*nˤu 
猱	*nˤu 
獶	*nˤu 
鐃	*[n]ˤrew 
撓	*m-[q]ʰˤrewʔ 
撓	*nˤ<r>[a]wʔ 
橈	*[n]ˤrew-s 
腦	*nˤ[u]ʔ 
眲	*nˤrək 
訥	*nˤut 
吶	*not 
餒	*nˤujʔ 
內	*nˤ[u]p-s 
能	*nˤə 
能	*nˤə(ŋ) 
能	*nˤə(ʔ) (~ *nˤəŋ)
麑	*m-ŋˤe 
泥	*C.nˤ[əj] 
臡	*nˤer 
尼	*nˤərʔ 
泥	*nˤər(ʔ)-s 
尼	*nˤərʔ-s 
倪	*ŋˤe 
尼	*nr[əj] 
怩	*nr[əj] 
擬	*[ŋ](r)əʔ (< uvular)
柅	*n<r>[ə]rʔ 
柅	*n<r>[ə]rʔ-s 
溺	*nˤewk 
屰	*ŋrak 
逆	*ŋrak 
膩	*nri[j]-s 
匿	*nr[ə]k 
䵒	*n<r>ik 
䵑	*n<r>ik 
昵	*n<r>ik 
暱	*n<r>ik 
年	*C.nˤi[ŋ] 
輦	*[r][a][n]ʔ 
蹍	*[n]r[a][n]ʔ 
念	*nˤim-s 
鳥	*tˤiwʔ 
尿	*kə.nˤewk-s 
溺	*kə.nˤewk-s 
齧	*[ŋ]ˤet 
闑	*ŋˤet 
槷	*ŋˤet 
孼	*ŋ(r)at 
櫱	*ŋ(r)at 
闑	*ŋr[e]t 
踂	*n<r>ep 
聶	*nrep 
躡	*nrep 
甯	*nˤeŋ 
寧	*nˤeŋ 
凝	*[ŋ](r)əŋ (< uvular?)
甯	*nˤ[e]ŋ-s 
佞	*nˤiŋ-s 
牛	*[ŋ]ʷə (< uvular?)
狃	*Cə.n<r>uʔ 
紐	*n<r>uʔ 
膿	*C.nˤuŋ 
農	*nˤ[o]ŋ 
濃	*n<r>oŋ 
弄	*[r]ˤoŋ-s 
槈	*nˤok-s 
耨	*nˤok-s 
奴	*nˤa 
弩	*C.nˤaʔ 
怒	*C.nˤaʔ 
怒	*C.nˤaʔ-s 
儺	*nˤar 
儺	*nˤar 
那	*nˤar 
儺	*nˤarʔ 
諾	*nˤak 
女	*nraʔ 
籹	*nraʔ 
女	*nraʔ-s 
虐	*[ŋ](r)awk 
區	*qˤ(r)o 
嘔	*qˤ(r)oʔ 
藕	*C.ŋˤ(r)oʔ 
偶	*ŋˤ(r)oʔ 
耦	*ŋˤ(r)oʔ 
爬	*[b]ˤra 
耙	*[b]ˤra 
拍	*mə-pʰˤrak 
簰	*Cə.[b]ˤre 
排	*[b]ˤrəj 
扳	*pˤran 
攀	*pʰˤran 
蟠	*[b]ˤar 
盤	*[b]ˤan 
蟠	*[b]ˤar 
畔	*m-pʰˤan-s 
判	*pʰˤan-s 
龐	*[b]ˤroŋ 
彷	*[b]ˤaŋ 
旁	*[b]ˤaŋ 
傍	*[b]ˤaŋ 
徬	*[b]ˤaŋ 
蒡	*[b]ˤaŋ 
雱	*pʰˤaŋ 
摽	*pʰˤrew 
匏	*[b]ˤru 
袍	*m.[p]ˤu 
𧳏	*[b]rə 
茷	*[b]ˤ[a][t]-s 
佩	*[b]ˤək-s 
肺	*pʰˤ[a][t]-s 
配	*pʰˤ[ə][j]-s 
轡	*pr[i][t]-s 
盆	*[b]ˤə[n] 
亨	*[p.qʰ]ˤraŋ 
烹	*[p.qʰ]ˤraŋ 
彭	*C.[b]ˤraŋ 
朋	*[b]ˤəŋ 
篷	*C.bˤoŋ 
芃	*[b]ˤ[o]m 
逢	*bˤoŋ 
邳	*[b]rə 
丕	*pʰrə 
被	*mə-pʰ(r)aj 
披	*pʰ(r)aj 
鼙	*[b]ˤe 
疲	*[b](r)aj 
罷	*[b]raj 
皮	*m-[p](r)aj 
脾	*m-[p]e 
毗	*[b]ij 
貔	*[b]ij 
羆	*praj 
擗	*[b]ek 
諀	*pʰeʔ 
匹	*pʰi[t] 
甓	*[b]ˤek 
淠	*pʰˤi[t]-s 
被	*pʰ(r)aj-s 
譬	*pʰek-s 
僻	*pʰek 
偏	*pʰe[n] 
篇	*pʰe[n] 
翩	*pʰe[n] 
蹁	*bˤe[r] 
便	*[b]e[n] 
平	*[b]en 
諞	*[m-pʰ]e[r] 
片	*pʰˤe[n]-s 
騙	*phen(ʔ)-s 
摽	*pʰˤew 
瓢	*(Cə.)[b]ew 
薸	*m-[p]ew 
票	*pʰew 
貧	*[b]rə[n] 
頻	*[b]i[n] 
頻	*[m-p]i[n] 
品	*pʰr[ə]mʔ 
牝	*[b]irʔ (dialect: *-r > *-j)
牝	*[b]irʔ 
娉	*p.[r̥]eŋ-s 
聘	*p.leŋ-s 
甹	*[p.l̥]ˤeŋ 
屏	*[b]ˤeŋ 
缾	*[b]ˤeŋ 
瓶	*[b]ˤeŋ 
苹	*[b]ˤeŋ 
馮	*[b]rəŋ 
馮	*[b]rəŋ 
憑	*[b]rəŋ 
平	*breŋ 
平	*m-breŋ 
馮	*[Cə.b]əŋ 
頗	*pʰˤa[j] 
婆	*[b]ˤa[j] 
鄱	*[b]ˤar 
皤	*[b]ˤar 
迫	*Cə.pˤrak 
破	*pʰˤaj-s 
霸	*[pʰˤ]rak 
魄	*pʰˤrak 
膊	*pʰˤak 
剖	*pʰˤ(r)oʔ 
痡	*pʰ(r)a 
仆	*pʰ(r)ok-s 
仆	*pʰok-s 
痡	*pʰˤa 
鋪	*pʰˤa 
仆	*pʰˤ(r)ok-s 
撲	*pʰˤok 
匍	*[b]ˤa 
蒲	*[b]ˤa 
僕	*[b]ˤok 
濮	*pˤok 
樸	*pʰˤrok 
浦	*pʰˤaʔ 
暴	*m-pˤawk 
曝	*m-pˤawk 
期	*[g](r)ə 
欺	*kʰ(r)ə 
棲	*s-nˤər 
栖	*s-nˤər 
妻	*[tsʰ]ˤəj 
萋	*[tsʰ]ˤəj 
慼	*s-tʰˤiwk 
戚	*s.tʰˤiwk 
戚	*s.tʰˤiwk 
戚	*s.tʰˤiwk 
戚	*s.tʰˤiwk 
鏚	*s.tʰˤiwk 
緝	*[tsʰ][ə]p 
七	*[tsʰ]i[t] 
桼	*[tsʰ]i[t] 
漆	*[tsʰ]i[t] 
懠	*[dz]ˤ[i]j 
臍	*[dz]ˤ[ə]j 
齊	*[dz]ˤəj 
齊	*[dz]ˤəj 
懠	*[dz]ˤ[i]j-s 
棋	*[g](r)ə 
旗	*[g](r)ə 
綦	*[g](r)ə 
綦	*[g](r)ə 
騏	*[g](r)ə 
丌	*[g]ə 
其	*gə 
其	*gə 
綦	*[g](r)ə-s 
耆	*[g]rij 
鰭	*[g]rij 
祁	*[g]rij 
祁	*[g]rə[j] 
蟣	*C.[g]əj (not in GSR)
祈	*C.[ɢ]ər 
旂	*C.[ɢ]ər 
蘄	*C.[ɢ]ər 
騎	*C.g(r)aj (~ *[Cə.g](r)aj)
錡	*C.ɢ(r)aj 
奇	*N-k(r)aj 
騎	*[g](r)aj-s 
歧	*N-ke (dialect: no palatalization)
祇	*[k.d]e (dialect: *k.d- > *g.d- > *g-, no palatalization)
稽	*[kʰ]ˤijʔ 
䭫	*kʰˤijʔ 
启	*kʰˤijʔ 
起	*C.qʰ(r)əʔ 
豈	*C.qʰəjʔ 
乞	*C.qʰət 
綺	*[k]ʰ(r)a[j]ʔ 
企	*kʰeʔ 
企	*kʰeʔ-s 
契	*[kʰ]ˤet-s 
亟	*kʰ(r)ək-s 
器	*[kʰ]r[ə][t]-s 
湆	*[kʰ](r)[ə]p 
泣	*k-r̥əp 
气	*C.qʰəp-s 
氣	*C.qʰəp-s 
憩	*C.qʰ<r>a[t]-s 
愒	*C.qʰ<r>at 
棄	*[kʰ]i[t]-s 
弃	*[kʰ]i[t]-s 
妻	*[tsʰ]ˤəj-s 
訖	*qʰə[t]-s 
洽	*N-kˤ<r>[o]p 
㓞	*[k]ʰˤret 
幵	*[k]ˤe[r] 
謙	*k-r̥ˤem 
牽	*[k]ʰˤi[n] 
愆	*C.qʰra[n] 
褰	*kʰra[n] 
阡	*[tsʰ]ˤi[n] 
千	*s.n̥ˤi[ŋ] 
僉	*s.qʰ[a]m (dialect: *s.qʰ > MC tsh-)
譣	*s.qʰ[a]m  (dialect: *s.qʰ- > MC tsh-)
𠨧	*[tsʰ]ar 
遷	*[tsʰ]ar 
餰	*t-qa[n] 
前	*[dz]ˤen (~ *m-dzˤen)
潛	*[dz][o]m 
潛	*[dz][o]m 
潛	*[dz][o]m-s 
錢	*N-ts[a][n] 
鉗	*C.[g]<r>[e]m 
黔	*[g](r)[o]m 
乾	*[g](r)ar 
虔	*[g]ra[n] 
燂	*sə-lom 
遣	*[k]ʰe[n]ʔ 
譣	*s.qʰ[a]mʔ (dialect: *s.qʰ- > MC tsh-)
淺	*[tsʰ]e[n]ʔ 
歉	*kʰˤremʔ-s 
遣	*[k]ʰe[n]ʔ-s (*kʰ- doesn't palatalize)
欠	*[k]ʰ(r)om-s 
塹	*[tsʰ]am-s 
羌	*C.qʰaŋ 
彊	*N-kaŋ 
强	*N-kaŋ 
强	*m-kaŋʔ 
蹻	*[g](r)awk 
磽	*[C.q]ʰˤrew 
骹	*[kʰ]ˤr[a]w 
喬	*[N-k](r)aw 
蕎	*[g](r)aw (no pre-Qín exx.)
橋	*[g](r)aw 
翹	*[g]ew (failure to palatalize is unexplained)
翹	*[g]ew (failure to palatalize is unexplained)
巧	*[kʰ]ˤruʔ 
竅	*[k]ʰˤewk-s 
且	*[tsʰ]Aʔ 
匧	*[k]ʰˤep 
契	*kʰˤet 
契	*kʰˤet 
鍥	*kʰˤet 
竊	*[tsʰ]ˤet 
切	*[tsʰ]ˤi[t] 
妾	*[tsʰ]ap 
衾	*[k]ʰ(r)[ə]m 
侵	*[tsʰ][i]m 
駸	*[tsʰ][i]m 
親	*[tsʰ]i[n] 
駸	*[tsʰ]r[i]m 
鬵	*sə-l[ə]m (irreg. dz- for z-; also read zim)
秦	*[dz]i[n] 
擒	*C.ɢ(r)[ə]m 
禽	*[C.ɢ](r)[ə]m 
禽	*[C.ɢ](r)[ə]m 
