埃	*qˤə 
拆	*qʰˤ<r>ak (dialect: *qʰˤr- > *r̥ˤ- > trh-)
差	*[tsʰ]raj 
差	*[tsʰ](ˤ)raj 
祡	*[C.dz]ˤre(j) 
儕	*[dz]ˤ<r>əj 
豺	*[dz]ˤrə 
蠆	*mə-r̥ˤa[t]-s 
幨	*[tʰ]am 
襜	*[tʰ]am 
廛	*[d]ra[n] 
躔	*[d]ra[n] 
纏	*[d]ra[n] 
孱	*[dz]r[a][n] 
蟬	*[d]a[r] 
單	*dar (< *[d]ar)
產	*s-ŋrarʔ 
諂	*qʰromʔ 
讇	*qʰromʔ 
幨	*[tʰ]am-s 
長	*Cə-[N]-traŋ 
場	*[l]raŋ 
腸	*lraŋ 
嘗	*Cə.daŋ 
常	*[d]aŋ 
裳	*daŋ 
惝	*tʰaŋʔ 
敞	*tʰaŋʔ 
鬯	*tʰraŋ-s 
悵	*tʰraŋ-s 
倡	*mə-tʰaŋ-s 
唱	*mə-tʰaŋ-s 
超	*tʰr[a]w 
潮	*[N]-t<r>aw 
朝	*m-t<r>aw 
巢	*[dz]ˤraw 
炒	*[tsʰ](ˤ)r[e]wʔ 
車	*[t.qʰ](r)A 
澈	*[d]ret 
徹	*m-[tʰ]ret 
撤	*m-tʰret 
徹	*m-tʰret 
坼	*Nə-qʰˤ<r>ak (W dialect: *qʰˤr- > *r̥ˤ- > trh-)
撤	*tʰret 
徹	*tʰret 
徹	*tʰret 
瞋	*tʰi[n] 
沈	*C.[d]r[ə]m (~ *m-lr[ə]m)
沈	*[d]r[ə]m (~ *m-lr[ə]m)
沈	*[d]r[ə]m 
沈	*[d]r[ə]m-s 
塵	*[d]rə[n] 
陳	*lri[n] 
煁	*[d][ə]m 
忱	*[t.ɢ][u]m 
諶	*[t.ɢ][u]m 
辰	*[d]ər 
晨	*[d]ər 
臣	*[g]i[ŋ] 
晨	*sə-[d]ər 
瞠	*tʰˤraŋ 
赬	*[t.kʰ]reŋ 
䞓	*t-kʰreŋ 
稱	*tʰəŋ 
棖	*m-tˤ<r>aŋ 
𣥺	*m-tˤ<r>aŋ 
橙	*[d]ˤrəŋ 
澄	*[d]rəŋ 
懲	*m-trəŋ 
程	*(C.)lreŋ 
程	*l<r>eŋ 
呈	*lreŋ 
承	*[m-t]əŋ 
丞	*m-təŋ 
成	*[d]eŋ 
城	*[d]eŋ 
誠	*[d]eŋ 
盛	*[d]eŋ 
成	*m-[d]eŋ 
乘	*Cə.ləŋ 
塍	*m.ləŋ (~ *mə.ləŋ)
逞	*[l̥]reŋʔ 
騁	*[r̥]eŋʔ 
稱	*mə-tʰəŋ-s 
絺	*qʰrəj (dialect: *qʰr- > *r̥- > trh-)
离	*r̥aj 
魑	*r̥aj 
螭	*r̥aj (E dialect: *r̥- > trh-)
鴟	*tʰij 
治	*C.lrə 
持	*[d]rə 
蚳	*[d]r[ij] 
坻	*[d]rij 
遟	*l<r>ə[j] 
遲	*l<r>ə[j] 
池	*Cə.lraj 
踟	*[d]re 
馳	*[l]raj 
篪	*lre 
弛	*l̥ajʔ 
恥	*n̥rəʔ 
齒	*t-[k]ʰə(ŋ)ʔ (or *t.ŋ̊əʔ)
哆	*[t-l̥]Ajʔ 
哆	*[t-l̥]ajʔ 
侈	*t-l̥ajʔ 
尺	*tʰAk 
翅	*s-kʰe-s 
勅	*(m-)r̥ək 
熾	*tʰək-s 
赤	*[t-qʰ](r)Ak 
㡿	*t-qʰAk 
斥	*tʰAk 
厈	*tʰAk 
沖	*[d]ruŋ 
舂	*s-toŋ 
憃	*s.toŋ 
憃	*[q]ʰˤ<r>oŋ 
忡	*tʰruŋ 
衝	*tʰoŋ 
充	*tʰuŋ 
重	*[m]-troŋ 
蟲	*C.lruŋ 
崇	*[dz]<r>uŋ 
寵	*r̥oŋʔ 
抽	*l̥ru 
瘳	*r̥iw 
稠	*[d]riw 
綢	*[d]riw 
𠃬	*[d]ru 
𢏚	*[d]ru 
疇	*[d]ru 
疇	*[d]ru 
愁	*[dz]riw 
讎	*[d]u 
丑	*[n̥]ruʔ 
杻	*n̥<r>uʔ 
杽	*n̥<r>uʔ 
醜	*t.qʰuʔ 
醜	*t.qʰuʔ 
臭	*t-qʰu(ʔ)-s 
臭	*qʰu(ʔ)-s 
初	*[ts]ʰra 
出	*t-kʰut 
除	*[l]<r>a 
廚	*[d]ro 
躕	*[d]ro 
鉏	*s-[l]<r>a 
鋤	*s-[l]<r>a 
鋤	*s-[l]<r>a 
芻	*[tsʰ]ro 
楚	*[s.r̥]aʔ 
楚	*s.r̥aʔ 
楚	*s.r̥aʔ 
處	*t.qʰaʔ 
杵	*t.qʰaʔ 
豖	*tʰrok 
畜	*qʰ<r>uk-s 
畜	*qʰ<r>uk 
稸	*qʰ<r>uk 
滀	*qʰ<r>uk 
黜	*t.kʰ<r>ut 
處	*t.qʰaʔ-s 
觸	*tʰok 
俶	*tʰuk 
揣	*s-tʰ<r>orʔ 
嘬	*[tsʰ](ˤ)ro[t]-s 
嘬	*[tsʰ](ˤ)ro[t]-s 
巛	*t.l̥u[n] (MC -jwen is irregular)
川	*t.l̥u[n] (MC -jwen is irregular)
穿	*tʰo[n] 
椽	*lron 
傳	*m-tron 
輲	*[d]or 
船	*Cə.lo[n] 
舛	*[tʰ]o[n]ʔ 
喘	*[tʰ]orʔ 
窻	*s-l̥ˤ<r>oŋ 
窗	*s-l̥ˤ<r>oŋ 
䆫	*s-l̥ˤ<r>oŋ 
創	*[tsʰ]raŋ 
瘡	*[tsʰ]raŋ 
撞	*[N-t]ˤ<r>oŋ 
幢	*[d]ˤroŋ 
牀	*k.dzraŋ 
創	*[tsʰ]raŋ-s 
吹	*tʰo[r] 
錘	*m-t<r>oj 
椎	*k.druj 
垂	*[d]o[j] 
捶	*tojʔ 
吹	*tʰo[r]-s 
出	*t-kʰut-s 
䡅	*[l̥]ru[n] 
輴	*l̥ru[n] 
春	*tʰun 
純	*[d]u[n] 
純	*[d]u[n] 
淳	*[d]u[r] 
淳	*[d]u[r] 
淳	*[d]u[r] 
鶉	*[d]ur 
脣	*sə.dur 
漘	*sə.dur 
躇	*tʰrak 
綴	*trot 
輟	*trot 
錣	*tˤrot 
綽	*tʰawk 
啜	*tʰot 
歠	*tʰot 
差	*tsʰraj 
慈	*[N-ts]ə 
餈	*dzij 
辭	*sə.lə 
祠	*sə.lə 
詞	*sə.lə 
此	*[tsʰ]e(j)ʔ 
泚	*[tsʰ]e(j)ʔ 
賜	*s-lek-s 
次	*[s-n̥]i[j]-s 
次	*[s-n̥]i[j]-s 
朿	*[tsʰ]ek-s 
刺	*[tsʰ]ek-s 
刺	*[tsʰ]ek 
蔥	*[ts]ʰˤoŋ 
聰	*s-l̥ˤoŋ 
從	*[dz]oŋ 
叢	*dzˤoŋ 
取	*tsʰˤoʔ 
粗	*Nə-s.r̥ˤa 
徂	*[dz]ˤa 
趣	*[tsʰ]ok 
竄	*[tsʰ]ˤo[n]-s 
崔	*[dz]ˤuj 
衰	*[s.r̥]ˤruj 
催	*s-tʰˤuj 
縗	*s.r̥ˤuj 
衰	*[tsʰ]roj 
萃	*[dz][u]p-s 
脃	*[tsʰ]o[t]-s 
脆	*[tsʰ]o[t]-s 
毳	*[tsʰ]op-s 
䄟	*tsʰop-s 
膬	*[tsʰ]ot 
倅	*[tsʰ]ˤu[t]-s 
啐	*[tsʰ]ˤu[t]-s 
淬	*[tsʰ]ˤu[t]-s 
焠	*[tsʰ]ˤu[t]-s 
㯔	*[tsʰ]<r>op-s 
毳	*[tsʰ]<r>op-s 
存	*[dz]ˤə[n] 
刌	*[tsʰ]ˤu[n]ʔ 
忖	*[tsʰ]ˤu[n]ʔ 
寸	*[tsʰ]ˤu[n]-s 
差	*[tsʰ]ˤaj 
磋	*[tsʰ]ˤaj 
撮	*[tsʰ]ˤot 
鹺	*N-[ts]ˤaj 
瑳	*tsʰˤarʔ 
脞	*tsʰˤojʔ 
錯	*[tsʰ]ˤak 
措	*[tsʰ]ˤak-s 
剉	*[tsʰ]ˤoj-s 
達	*[l]ˤat 
怛	*tˤat 
答	*[t]ˤ[u]p 
荅	*[t]ˤ[ə]p 
大	*lˤat-s (MC F!)
大	*lˤa[t]-s 
汰	*lˤa[t]-s 
待	*[d]ˤəʔ 
詒	*lˤəʔ 
怠	*lˤəʔ 
殆	*lˤəʔ 
迨	*lˤəʔ 
𨽿	*lˤəʔ 
袋	*Cə.lˤək-s 
代	*lˤək-s 
隶	*m-rˤəp-s 
逮	*m-rˤəp-s 
帶	*C.tˤa[t]-s 
貸	*l̥ˤək-s 
戴	*Cə.tˤək-s 
儋	*[mə-t]ˤam 
擔	*mə-tˤam 
單	*Cə.tˤar 
鄲	*tˤa[r] 
丹	*tˤan 
耽	*[t-q]ˤ[ə]m 
膽	*[t]ˤamʔ 
癉	*tˤanʔ 
𤺺	*tˤanʔ 
亶	*tˤanʔ 
淡	*[l]ˤamʔ 
憺	*[l]ˤamʔ 
澹	*[l]ˤamʔ 
啖	*m-rˤamʔ 
啗	*m-rˤamʔ 
啗	*m-rˤamʔ-s 
但	*[d]ˤa[n]ʔ 
彈	*[d]ˤar-s 
禫	*[m.]rˤ[u]mʔ 
窞	*rˤomʔ 
萏	*rˤomʔ 
擔	*tˤam 
擔	*mə-tˤam-s 
旦	*tˤan-s 
當	*tˤaŋ 
黨	*tˤaŋʔ 
蕩	*N.rˤaŋʔ 
愓	*lˤaŋʔ 
碭	*lˤaŋ-s 
蕩	*lˤaŋ-s 
當	*tˤaŋ-s 
刀	*C.tˤaw 
道	*lˤuʔ-s 
導	*lˤuʔ-s 
禱	*[t]ˤuʔ 
倒	*tˤawʔ 
擣	*tˤuʔ 
島	*tˤuʔ 
道	*[kə.l]ˤuʔ 
稻	*[l]ˤuʔ 
盜	*[d]ˤaw(k)-s 
悼	*[d]ˤawk-s 
纛	*[d]ˤuk-s 
到	*tˤaw[k]-s 
倒	*tˤawʔ-s 
得	*tˤək 
德	*tˤək 
登	*k-tˤəŋ 
鐙	*k-tˤəŋ 
燈	*k-tˤəŋ 
豋	*tˤəŋ 
登	*tˤəŋ 
等	*tˤəŋʔ 
氐	*tˤij 
敵	*[d]ˤek 
狄	*lˤek 
翟	*lˤewk 
糴	*lˤewk 
篴	*lˤiwk 
滌	*lˤiwk 
嫡	*tˤek 
蹢	*tˤek 
氐	*tˤijʔ 
底	*tˤijʔ 
抵	*tˤijʔ 
遞	*lˤeʔ 
弟	*lˤəjʔ 
娣	*lˤəjʔ 
棣	*[N].rˤəp-s 
折	*[d]ˤet-s 
杕	*[d]ˤet-s 
軑	*[l]ˤe[t]-s 
第	*[l]ˤəjʔ-s 
睇	*lˤəj-s 
地	*[l]ˤej-s 
帝	*tˤek-s 
的	*[t-l]ˤewk 
顛	*tˤi[n] 
㓠	*tˤemʔ 
點	*tˤemʔ 
典	*tˤə[r]ʔ 
簟	*[l]ˤimʔ 
驔	*[l]ˤimʔ 
奠	*N-tˤe[n]-s 
殿	*[N-t]ˤə[n]-s 
電	*lˤi[n]-s 
佃	*lˤiŋ-s 
畋	*lˤiŋ-s 
甸	*lˤiŋ-s 
奠	*m-tˤe[n]-s 
玷	*tˤemʔ 
墊	*[t]ˤ[i]m-s 
店	*tˤem-s 
玷	*tˤemʔ-s 
㓠	*tˤemʔ-s 
殿	*tˤə[n]-s 
殿	*tˤə[n]-s 
凋	*tˤiw 
彫	*tˤiw 
雕	*tˤiw 
弔	*tˤ[i]wk 
釣	*[t]ˤewk-s 
